Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2003-4-21,1133.33,1144.93,1107.69,1123.31,0.87,11.95,-1.08,1.32,75.73,4.54,13.82,4.57,889.32,4.45,0.38,5.76
801813,小盘指数,2003-4-18,1138.47,1152.8,1120.82,1135.4,0.86,11.81,-0.16,1.3,76.56,4.59,13.97,3.97,899.14,4.5,0.38,5.76
801813,小盘指数,2003-4-17,1133.46,1152.7,1117.42,1137.26,1.12,15.77,0.2,1.69,76.69,4.59,14,4.58,900.61,4.5,0.38,5.76
801813,小盘指数,2003-4-16,1158.85,1174.12,1124.91,1134.94,1.55,22.57,-1.8,2.34,76.53,4.58,13.97,4.46,898.78,4.49,0.39,5.76
801813,小盘指数,2003-4-15,1137.09,1166.51,1125.31,1155.34,1.65,24.15,1.82,2.5,77.84,4.66,14.23,6,914.08,4.57,0.39,5.76
801813,小盘指数,2003-4-14,1106.9,1142.64,1098.69,1134.27,1.43,19.42,2.21,2.16,76.52,4.58,14.01,4.37,898.62,4.49,0.39,5.76
801813,小盘指数,2003-4-11,1104.47,1119.61,1089.06,1109.23,1,13.33,0.23,1.5,74.83,4.48,13.71,4.08,878.8,4.39,0.41,5.76
801813,小盘指数,2003-4-10,1102.21,1120.15,1081.64,1106.7,1.05,13.97,0.45,1.59,74.66,4.47,13.68,3.98,876.8,4.38,0.41,5.76
801813,小盘指数,2003-4-9,1101.77,1114.4,1080.73,1101.76,0.8,10.55,-0.16,1.21,74.33,4.45,13.62,4.06,872.89,4.36,0.41,5.76
801813,小盘指数,2003-4-8,1107.58,1120.27,1093.76,1103.56,0.61,8.09,-0.58,0.92,74.45,4.46,13.65,4.75,874.3,4.37,0.41,5.76
801813,小盘指数,2003-4-7,1123.65,1132.36,1102.89,1109.93,0.57,8,-1.28,0.86,74.88,4.49,13.73,5.45,879.35,4.4,0.41,5.76
